ETFID,ETF,Ticker ID,Identifier
0,DIA,0,DIA
0,DIA,1,AXP
0,DIA,2,BA
0,DIA,3,CAT
0,DIA,4,CSCO
0,DIA,5,CVX
0,DIA,6,DD
0,DIA,7,DIS
0,DIA,8,GE
0,DIA,9,GS
0,DIA,10,HD
0,DIA,11,IBM
0,DIA,12,INTC
0,DIA,13,JNJ
0,DIA,14,JPM
0,DIA,15,KO
0,DIA,16,MCD
0,DIA,17,MMM
0,DIA,18,MRK
0,DIA,19,MSFT
0,DIA,20,NKE
0,DIA,21,PFE
0,DIA,22,PG
0,DIA,23,T
0,DIA,24,TRV
0,DIA,25,UNH
0,DIA,26,UTX
0,DIA,27,V
0,DIA,28,VZ
0,DIA,29,WMT
0,DIA,30,XOM
1,SPY,0,SPY
1,SPY,1,AAPL
1,SPY,2,XOM
1,SPY,3,MSFT
1,SPY,4,JNJ
1,SPY,5,GE
1,SPY,6,BRK.B
1,SPY,7,WFC
1,SPY,8,JPM
1,SPY,9,PG
1,SPY,10,CVX
1,SPY,11,VZ
1,SPY,12,PFE
1,SPY,13,T
1,SPY,14,BAC
1,SPY,15,IBM
1,SPY,16,MRK
1,SPY,17,KO
1,SPY,18,INTC
1,SPY,19,GOOGL
1,SPY,20,GOOG
1,SPY,21,GILD
1,SPY,22,C
1,SPY,23,FB
1,SPY,24,PEP
1,SPY,25,DIS
1,SPY,26,CMCSA
1,SPY,27,PM
1,SPY,28,CSCO
1,SPY,29,SLB
1,SPY,30,HD
1,SPY,31,ORCL
1,SPY,32,QCOM
1,SPY,33,AMZN
1,SPY,34,WMT
1,SPY,35,AMGN
1,SPY,36,V
1,SPY,37,UNP
1,SPY,38,CVS
1,SPY,39,ABBV
1,SPY,40,MCD
1,SPY,41,MMM
1,SPY,42,MO
1,SPY,43,COP
1,SPY,44,UTX
1,SPY,45,BA
1,SPY,46,BMY
1,SPY,47,UNH
1,SPY,48,AXP
1,SPY,49,AIG
1,SPY,50,BIIB
1,SPY,51,CELG
1,SPY,52,GS
1,SPY,53,OXY
1,SPY,54,USB
1,SPY,55,MA
1,SPY,56,HON
1,SPY,57,UPS
1,SPY,58,HPQ
1,SPY,59,ACT
1,SPY,60,DD
1,SPY,61,LLY
1,SPY,62,TWX
1,SPY,63,FOXA
1,SPY,64,ABT
1,SPY,65,MDT
1,SPY,66,NKE
1,SPY,67,CAT
1,SPY,68,EBAY
1,SPY,69,MET
1,SPY,70,PCLN
1,SPY,71,DOW
1,SPY,72,EMC
1,SPY,73,MDLZ
1,SPY,74,MON
1,SPY,75,SBUX
1,SPY,76,CL
1,SPY,77,COST
1,SPY,78,F
1,SPY,79,AGN
1,SPY,80,MS
1,SPY,81,DUK
1,SPY,82,EOG
1,SPY,83,ESRX
1,SPY,84,HAL
1,SPY,85,LOW
1,SPY,86,WAG
1,SPY,87,ACN
1,SPY,88,SPG
1,SPY,89,TXN
1,SPY,90,APC
1,SPY,91,LMT
1,SPY,92,TMO
1,SPY,93,COF
1,SPY,94,DHR
1,SPY,95,GM
1,SPY,96,MCK
1,SPY,97,PNC
1,SPY,98,BK
1,SPY,99,DTV
1,SPY,100,EMR
1,SPY,101,FDX
1,SPY,102,LYB
1,SPY,103,PSX
1,SPY,104,BLK
1,SPY,105,COV
1,SPY,106,TJX
1,SPY,107,BAX
1,SPY,108,D
1,SPY,109,KMB
1,SPY,110,NEE
1,SPY,111,PRU
1,SPY,112,SO
1,SPY,113,TGT
1,SPY,114,TWC
1,SPY,115,GD
1,SPY,116,YHOO
1,SPY,117,ACE
1,SPY,118,AMT
1,SPY,119,ADP
1,SPY,120,MU
1,SPY,121,PX
1,SPY,122,WMB
1,SPY,123,ALXN
1,SPY,124,NSC
1,SPY,125,APA
1,SPY,126,ADM
1,SPY,127,SCHW
1,SPY,128,FCX
1,SPY,129,KRFT
1,SPY,130,PCP
1,SPY,131,WLP
1,SPY,132,CRM
1,SPY,133,ADBE
1,SPY,134,CSX
1,SPY,135,DAL
1,SPY,136,ECL
1,SPY,137,GIS
1,SPY,138,NOV
1,SPY,139,RTN
1,SPY,140,STT
1,SPY,141,TRV
1,SPY,142,YUM
1,SPY,143,AET
1,SPY,144,DE
1,SPY,145,DFS
1,SPY,146,ETN
1,SPY,147,EXC
1,SPY,148,ITW
1,SPY,149,JCI
1,SPY,150,MMC
1,SPY,151,NFLX
1,SPY,152,VIAB
1,SPY,153,AFL
1,SPY,154,ALL
1,SPY,155,AEP
1,SPY,156,AON
1,SPY,157,BBT
1,SPY,158,BHI
1,SPY,159,CBS
1,SPY,160,CME
1,SPY,161,CAH
1,SPY,162,CTSH
1,SPY,163,CCI
1,SPY,164,KMI
1,SPY,165,KR
1,SPY,166,NOC
1,SPY,167,PPG
1,SPY,168,PXD
1,SPY,169,REGN
1,SPY,170,SE
1,SPY,171,VRTX
1,SPY,172,APD
1,SPY,173,AMAT
1,SPY,174,CI
1,SPY,175,GLW
1,SPY,176,DVN
1,SPY,177,HES
1,SPY,178,INTU
1,SPY,179,MRO
1,SPY,180,PSA
1,SPY,181,SRE
1,SPY,182,SYK
1,SPY,183,VLO
1,SPY,184,AMP
1,SPY,185,BDX
1,SPY,186,CTL
1,SPY,187,CB
1,SPY,188,CMI
1,SPY,189,EQR
1,SPY,190,ICE
1,SPY,191,MPC
1,SPY,192,MHFI
1,SPY,193,NBL
1,SPY,194,PPL
1,SPY,195,LUV
1,SPY,196,SYY
1,SPY,197,TEL
1,SPY,198,VFC
1,SPY,199,AVGO
1,SPY,200,BRCM
1,SPY,201,CMG
1,SPY,202,BEN
1,SPY,203,HCN
1,SPY,204,IP
1,SPY,205,LO
1,SPY,206,M
1,SPY,207,PCAR
1,SPY,208,PCG
1,SPY,209,PRGO
1,SPY,210,SNDK
1,SPY,211,STI
1,SPY,212,TROW
1,SPY,213,WM
1,SPY,214,WDC
1,SPY,215,A
1,SPY,216,AVB
1,SPY,217,DLPH
1,SPY,218,DG
1,SPY,219,HCP
1,SPY,220,HUM
1,SPY,221,MJN
1,SPY,222,MYL
1,SPY,223,PLD
1,SPY,224,PEG
1,SPY,225,RAI
1,SPY,226,TYC
1,SPY,227,ZTS
1,SPY,228,AA
1,SPY,229,AZO
1,SPY,230,BXP
1,SPY,231,CCL
1,SPY,232,CERN
1,SPY,233,EIX
1,SPY,234,EL
1,SPY,235,FITB
1,SPY,236,ISRG
1,SPY,237,IVZ
1,SPY,238,MCO
1,SPY,239,OMC
1,SPY,240,PH
1,SPY,241,STX
1,SPY,242,SHW
1,SPY,243,STJ
1,SPY,244,VTR
1,SPY,245,VNO
1,SPY,246,WY
1,SPY,247,ZMH
1,SPY,248,ABC
1,SPY,249,APH
1,SPY,250,BSX
1,SPY,251,ED
1,SPY,252,FIS
1,SPY,253,FISV
1,SPY,254,HIG
1,SPY,255,HST
1,SPY,256,IR
1,SPY,257,K
1,SPY,258,GMCR
1,SPY,259,LB
1,SPY,260,MTB
1,SPY,261,KORS
1,SPY,262,NTRS
1,SPY,263,NUE
1,SPY,264,ORLY
1,SPY,265,ROK
1,SPY,266,ROST
1,SPY,267,SIAL
1,SPY,268,HOT
1,SPY,269,SYMC
1,SPY,270,GWW
1,SPY,271,XEL
1,SPY,272,ADS
1,SPY,273,ADI
1,SPY,274,ADSK
1,SPY,275,BBBY
1,SPY,276,BF.B
1,SPY,277,CF
1,SPY,278,CAG
1,SPY,279,STZ
1,SPY,280,DTE
1,SPY,281,DOV
1,SPY,282,EQT
1,SPY,283,ETR
1,SPY,284,FE
1,SPY,285,GGP
1,SPY,286,GPC
1,SPY,287,HSY
1,SPY,288,KSU
1,SPY,289,LNC
1,SPY,290,MAR
1,SPY,291,MNST
1,SPY,292,MOS
1,SPY,293,MSI
1,SPY,294,NTAP
1,SPY,295,NLSN
1,SPY,296,NU
1,SPY,297,OKE
1,SPY,298,PAYX
1,SPY,299,PFG
1,SPY,300,PGR
1,SPY,301,RF
1,SPY,302,ROP
1,SPY,303,SWK
1,SPY,304,WFM
1,SPY,305,WYNN
1,SPY,306,XRX
1,SPY,307,AME
1,SPY,308,BWA
1,SPY,309,COG
1,SPY,310,CAM
1,SPY,311,CLX
1,SPY,312,DVA
1,SPY,313,DLTR
1,SPY,314,DPS
1,SPY,315,EMN
1,SPY,316,FTI
1,SPY,317,FAST
1,SPY,318,GPS
1,SPY,319,HOG
1,SPY,320,KLAC
1,SPY,321,KEY
1,SPY,322,KSS
1,SPY,323,LRCX
1,SPY,324,L
1,SPY,325,TAP
1,SPY,326,NI
1,SPY,327,PNR
1,SPY,328,SWN
1,SPY,329,TSN
1,SPY,330,AMG
1,SPY,331,AKAM
1,SPY,332,ALTR
1,SPY,333,BBY
1,SPY,334,BCR
1,SPY,335,CHRW
1,SPY,336,KMX
1,SPY,337,CNP
1,SPY,338,CHK
1,SPY,339,XEC
1,SPY,340,CTXS
1,SPY,341,COH
1,SPY,342,CCE
1,SPY,343,DISCK
1,SPY,344,EW
1,SPY,345,EA
1,SPY,346,ESS
1,SPY,347,FLR
1,SPY,348,HP
1,SPY,349,SJM
1,SPY,350,LLL
1,SPY,351,LLTC
1,SPY,352,MNK
1,SPY,353,MAT
1,SPY,354,NRG
1,SPY,355,NEM
1,SPY,356,JWN
1,SPY,357,PVH
1,SPY,358,RL
1,SPY,359,RRC
1,SPY,360,RHT
1,SPY,361,RSG
1,SPY,362,COL
1,SPY,363,SRCL
1,SPY,364,TXT
1,SPY,365,TIF
1,SPY,366,RIG
1,SPY,367,TRIP
1,SPY,368,UA
1,SPY,369,URI
1,SPY,370,UHS
1,SPY,371,WHR
1,SPY,372,WEC
1,SPY,373,WYN
1,SPY,374,XLNX
1,SPY,375,AES
1,SPY,376,AEE
1,SPY,377,BLL
1,SPY,378,CA
1,SPY,379,CBG
1,SPY,380,CMS
1,SPY,381,CNX
1,SPY,382,CFN
1,SPY,383,CMA
1,SPY,384,CSC
1,SPY,385,ESV
1,SPY,386,EFX
1,SPY,387,EXPE
1,SPY,388,EXPD
1,SPY,389,FFIV
1,SPY,390,FLS
1,SPY,391,HRB
1,SPY,392,HSP
1,SPY,393,HBAN
1,SPY,394,JNPR
1,SPY,395,KIM
1,SPY,396,LH
1,SPY,397,MAC
1,SPY,398,MAS
1,SPY,399,MKC
1,SPY,400,MCHP
1,SPY,401,MHK
1,SPY,402,MUR
1,SPY,403,NVDA
1,SPY,404,NWL
1,SPY,405,PLL
1,SPY,406,DGX
1,SPY,407,SNI
1,SPY,408,TSO
1,SPY,409,TSCO
1,SPY,410,UNM
1,SPY,411,VAR
1,SPY,412,WAT
1,SPY,413,WU
1,SPY,414,XL
1,SPY,415,ADT
1,SPY,416,ARG
1,SPY,417,CPB
1,SPY,418,CINF
1,SPY,419,CTAS
1,SPY,420,DHI
1,SPY,421,XRAY
1,SPY,422,DRI
1,SPY,423,ETFC
1,SPY,424,FMC
1,SPY,425,FDO
1,SPY,426,FTR
1,SPY,427,GCI
1,SPY,428,GRMN
1,SPY,429,GNW
1,SPY,430,GT
1,SPY,431,HAR
1,SPY,432,HRS
1,SPY,433,HAS
1,SPY,434,HRL
1,SPY,435,IFF
1,SPY,436,IPG
1,SPY,437,JEC
1,SPY,438,LEN
1,SPY,439,LUK
1,SPY,440,MLM
1,SPY,441,MWV
1,SPY,442,NAVI
1,SPY,443,NWSA
1,SPY,444,POM
1,SPY,445,PETM
1,SPY,446,PCL
1,SPY,447,PHM
1,SPY,448,PWR
1,SPY,449,RHI
1,SPY,450,SCG
1,SPY,451,SWY
1,SPY,452,SEE
1,SPY,453,SNA
1,SPY,454,SPLS
1,SPY,455,TDC
1,SPY,456,TMK
1,SPY,457,VRSN
1,SPY,458,VMC
1,SPY,459,WIN
1,SPY,460,XYL
1,SPY,461,GAS
1,SPY,462,ALLE
1,SPY,463,AIV
1,SPY,464,AIZ
1,SPY,465,AVP
1,SPY,466,DNR
1,SPY,467,DISCA
1,SPY,468,DNB
1,SPY,469,FSLR
1,SPY,470,FOSL
1,SPY,471,GME
1,SPY,472,HCBK
1,SPY,473,TEG
1,SPY,474,IRM
1,SPY,475,JOY
1,SPY,476,LM
1,SPY,477,LEG
1,SPY,478,NDAQ
1,SPY,479,NBR
1,SPY,480,NFX
1,SPY,481,NE
1,SPY,482,PBCT
1,SPY,483,PKI
1,SPY,484,PNW
1,SPY,485,PBI
1,SPY,486,QEP
1,SPY,487,R
1,SPY,488,THC
1,SPY,489,TSS
1,SPY,490,ZION
1,SPY,491,ATI
1,SPY,492,AN
1,SPY,493,AVY
1,SPY,494,BMS
1,SPY,495,CVC
1,SPY,496,FLIR
1,SPY,497,JBL
1,SPY,498,OI
1,SPY,499,PDCO
1,SPY,500,TE
1,SPY,501,URBN
1,SPY,502,DO
